Problem_number,Catogery,Problem_details
1176,greedy,http://codeforces.com/contest/883/problem/K (4) //Nice — Two sweeps
1177,greedy,http://codeforces.com/contest/49/problem/D (3) //NICE — 1010101 OR 0101010 [haming]
1178,greedy,http://codeforces.com/contest/58/problem/C (4) //NICE — group trees by slopes
1179,greedy,http://codeforces.com/contest/729/problem/D 3
1180,greedy,http://codeforces.com/contest/729/problem/E 4
1181,greedy,http://codeforces.com/contest/725/problem/D 4
1182,greedy,http://codeforces.com/contest/725/problem/F 9
1183,greedy,http://codeforces.com/contest/732/problem/E 5
1184,greedy,http://codeforces.com/contest/727/problem/F 6
1185,greedy,http://codeforces.com/contest/724/problem/D 5
1186,greedy,http://codeforces.com/contest/723/problem/C 4
1187,greedy,http://codeforces.com/contest/719/problem/B 2
1188,greedy,http://codeforces.com/contest/712/problem/C 3
1189,greedy,13152 UVA (4)
1190,greedy,http://codeforces.com/contest/746/problem/E 5
1191,greedy,http://codeforces.com/contest/746/problem/D 3
1192,greedy,http://codeforces.com/contest/749/problem/C 3
1193,greedy,11737 UVA (3)
1194,greedy,11786 UVA (4)
1195,greedy,11630 UVA (5)
1196,greedy,11563 UVA (4)
1197,greedy,11491 UVA (4)
1198,greedy,11330 UVA (3)
1199,greedy,11089 UVA (2)
1200,greedy,http://codeforces.com/contest/884/problem/D (4) //PQ or Sort
1201,greedy,http://www.spoj.com/problems/SQRMINSUM/ 3 //solve-able in O(N+M)-arrayqueue
1202,greedy,http://www.spoj.com/problems/MSCHED/ 3 //sweep from back
1203,greedy,http://www.spoj.com/status/ns=18780683 4 //all perm + A<B<C works
1204,greedy,http://www.spoj.com/problems/NINJA7/ (3) //sort by diff
1205,greedy,http://www.spoj.com/problems/NINJA2/ (4) //try all possib. (26)
1206,greedy,http://codeforces.com/contest/767/problem/E (6)
1207,greedy,http://codeforces.com/contest/637/problem/B (3) //NICE pro prvaky
1208,greedy,http://codeforces.com/contest/777/problem/B (3) // -||-
1209,greedy,http://codeforces.com/contest/777/problem/D (3) //just go from end
1210,greedy,http://codeforces.com/contest/779/problem/C (3) //NICE pro prváky
1211,greedy,http://www.spoj.com/problems/SPCU/ (2) //Easy — zamysleni (max int = index)
1212,greedy,http://www.spoj.com/problems/LOPOV/ (4) //sort + queue (or just queue) NICE
1213,greedy,http://codeforces.com/contest/792/problem/E (5) //T%S<=T/S + check proper
1214,greedy,http://codeforces.com/contest/807/problem/E (5) //NICE — put asice P2 / rest — greedy from small
1215,greedy,http://codeforces.com/contest/799/problem/E (5) //Many queues — but NICE
1216,greedy,http://codeforces.com/contest/808/problem/C (3) //EASY
1217,greedy,"http://codeforces.com/contest/802/problem/B (4) //Priority by ""next"""
1218,greedy,10850 UVA (4) //Queue a brute-force
1219,greedy,http://codeforces.com/contest/813/problem/A (1) //Zahrivacka pro prvaky
1220,greedy,10716 UVA (4) //NICE — always find closest pair
1221,greedy,http://codeforces.com/contest/816/problem/C (3) //NICE — greater<lesser side
1222,greedy,http://codeforces.com/contest/820/problem/D (5) //VERY NICE — O(N) -~- 5 events per number
1223,greedy,http://codeforces.com/contest/818/problem/B (2) //Zahrivacka pro prvaky
1224,greedy,http://codeforces.com/contest/822/problem/C (4) //Almost classical Sort+Queue
1225,greedy,http://codeforces.com/contest/825/problem/C (2) //Nice & Easy
1226,greedy,http://codeforces.com/contest/825/problem/D (3) //Update by modulo
1227,greedy,http://codeforces.com/contest/835/problem/B (2) // Zahhrivacka pro prvaky
1228,greedy,http://codeforces.com/contest/839/problem/B (3) //Nasty iffs — yet nice excersize
1229,greedy,http://www.spoj.com/problems/PCPC12I/ (4) //Swipe MINIMUM from left/right [10^6-A[i] trick]
1230,greedy,http://www.spoj.com/problems/AMR12I/ (3) //NICE a) MAX_SEG>=K b) (SEG_SIZE-1)/K+1
1231,greedy,http://www.spoj.com/problems/BUSYMAN/ (2) //NICE&EASY — Sort + keep minimum
1232,greedy,http://codeforces.com/contest/861/problem/C (3) //2+ but not same
1233,greedy,"http://www.spoj.com/problems/WORKB/ (3) //Simple ""min"" formula for each neighbor"
1234,greedy,http://codeforces.com/contest/864/problem/D (4) //VERY NICE — Frequency + unused
1235,greedy,http://www.spoj.com/problems/ROADTRIP/ (4) //VERY NICE — Keeping last lesser
1236,greedy,http://codeforces.com/contest/597/problem/B (3) //NICE [Classical]
1237,greedy,http://www.spoj.com/problems/SHLIGHTS/ (4)
1238,greedy,http://www.spoj.com/problems/MLK/ (3) //VERY NICE — Sum all prefix sums
1239,greedy,http://codeforces.com/contest/867/problem/C (4) //NICE [IMPLE][2POINTERS][MID+EPS]
1240,greedy,http://codeforces.com/contest/867/problem/E (5) //NICE [EASY-IMPLE][HARD-CONS]
1241,greedy,http://codeforces.com/contest/18/problem/D (4) //+Big Integer
1242,greedy,http://codeforces.com/contest/276/problem/D (4) //NICE — Find first mismatch bit (then 111...111)
1243,greedy,http://codeforces.com/contest/3/problem/B (4) //Divide 1/2 [sort][2pointers]
1244,greedy,http://codeforces.com/contest/3/problem/D (4) //?==) ..if open < 0: set max A-B to (
1245,greedy,"http://codeforces.com/contest/26/problem/B (4) // +1 ( | -1 ): -1, erase .. erase sum in the end"
1246,greedy,http://codeforces.com/contest/33/problem/A (2) //EASY [long-statement]
1247,greedy,http://codeforces.com/contest/44/problem/E (2) //Try mins then try maxs
1248,greedy,http://codeforces.com/contest/45/problem/D (3) //Priority-queue+'sort'
1249,hash,http://www.spoj.com/problems/ADACLEAN/
1250,hash,http://codeforces.com/gym/101808/problem/B (5) //[NICE][NUMBERS]
1251,hash,http://codeforces.com/gym/101741/problem/K (5) //[NICE][SQRT][PATTERN MATCHING]
1252,hash,7979 — Red Rover (3) //[NICE] //Many other ways to solve
1253,hash,http://codeforces.com/contest/898/problem/F (5) //[VERY NICE]//Hash by 10
1254,hash,http://codeforces.com/contest/114/problem/D (4) //[NICE] //N^2Log(N) might/might-not be OK
1255,hash,https://www.urionlinejudge.com.br/judge/en/problems/view/1503 (7) //[NICE][BS][OPTI]
1256,hash,"Gym 101466E [2017 ACM-ICPC, Universidad Nacional de Colombia Programming Contest][NICE]"
1257,hash,12012 UVA 4
1258,hash,http://codeforces.com/contest/727/problem/E 7
1259,hash,http://codeforces.com/contest/718/problem/D 8
1260,hash,11855 UVA 4
1261,hash,http://codeforces.com/contest/752/problem/D 5
1262,hash,http://codeforces.com/contest/825/problem/F 5 //String + Periods
1263,hash,http://codeforces.com/contest/835/problem/D 4 //Palindromes
1264,hash,http://www.spoj.com/problems/CF25E/ (5) //VERY NICE [IMPLE>CONCEPT]
1265,hash,http://codeforces.com/contest/7/problem/D (4) //Palindromes 
1266,hash,http://codeforces.com/contest/19/problem/C (4) //[NICE]: Not a string
1267,hull,http://www.spoj.com/problems/GARDENHU/en/
1268,hull,2453 — Wall [LA]
1269,hull,UVA 13213
1270,hull,UVA 11096
1271,hull,"Gym 100792G [2015-2016 ACM-ICPC, NEERC, Moscow Subregional Contest]"
1272,hull,https://www.codechef.com/problems/KTHCON
1273,hull,http://codeforces.com/problemset/problem/605/C
1274,hull,UVA 218
1275,hull,UVA 11072
1276,hull,11168 UVA
1277,hull,UVA 12307
1278,hull,"Gym 100963I [2007-2008 Summer Petrozavodsk Camp, Japanese Contest, 2007-08-29]"
1279,hull,UVA 11243
1280,hull,UVA 10256
1281,hull,109 SCUD Busters
1282,hull,UVA 13024 [NICE]
1283,hull,UVA 10002
1284,hull,"Gym 100886H [2015-2016 Petrozavodsk Winter Training Camp, Saratov SU Contest]"
1285,hull,UVA 1139
1286,hull,UVA 681
1287,hull,UVA 811
1288,hull,https://www.codechef.com/problems/MGCHGEOM
1289,hull,UVA 11769 //3D
1290,chess,http://www.spoj.com/problems/ADACHESS/
1291,chess,http://www.spoj.com/problems/ADACHES2/
1292,chess,http://www.spoj.com/problems/ADAGAME5/
1293,chess,http://www.spoj.com/problems/ADAXMAS/
1294,chess,http://codeforces.com/contest/131/problem/E (4) //[NICE][STL][SORTING][QUEEN]
1295,chess,http://codeforces.com/contest/42/problem/B (4) //NICE — Checkmate check
1296,chess,UVA 10748 //bfs
1297,chess,LightOJ 1143
1298,chess,https://www.hackerearth.com/practice/algorithms/greedy/basics-of-greedy-algorithms/practice-problems/algorithm/harry-and-ron-play-a-game-of-chess/
1299,chess,UVA 10196
1300,chess,http://www.spoj.com/problems/KNMOVE/
1301,chess,UVA 11352
1302,chess,http://www.spoj.com/problems/NAKANJ/ //BFS
1303,chess,LightOJ 1010
1304,chess,LightOJ 1171 //MM
1305,chess,2883 LA
1306,chess,UVA 439 
1307,chess,http://www.spoj.com/problems/TRKNIGHT/ //??
1308,chess,2308 LA
1309,chess,http://www.spoj.com/problems/CCHESS/ //Dijkstra
1310,chess,http://codeforces.com/problemset/problem/630/H //[ROOKS][BIG][COMBINATORICS]
1311,chess,LightOJ 1005 //As above (but with real rooks)
1312,chess,LightOJ 1061 //Placing queens
1313,chess,UVA 11085
1314,chess,UVA 10094 //Queen placing [NICE][PATTERN]
1315,chess,https://devskill.com/CodingProblems/ViewProblem/383
1316,chess,11852 UVA (6)
1317,chess,http://www.spoj.com/problems/KLUG1/ (2) //Jumps of horse
1318,chess,http://www.spoj.com/problems/CODESPTD/ (5) //VERY NICE — DP [Queens]
1319,chess,http://codeforces.com/contest/3/problem/A (2) //Imple — Shortest path for king
1320,chess,http://codeforces.com/contest/38/problem/B (2) //NICE — Simple possition checking
1321,implementation,http://codeforces.com/gym/101889/my H
1322,implementation,http://codeforces.com/contest/934/problem/A (2)
1323,implementation,http://codeforces.com/contest/922/problem/A (2) //Iff-party
1324,implementation,http://codeforces.com/contest/914/problem/A (1)
1325,implementation,http://codeforces.com/contest/916/problem/A (2) //Time
1326,implementation,http://codeforces.com/contest/915/problem/B (2) //Formula / Iff
1327,implementation,http://codeforces.com/contest/915/problem/A (1)
1328,implementation,http://codeforces.com/contest/913/problem/A (1) 
1329,implementation,http://codeforces.com/contest/912/problem/A (2) //Easy [corner-cases]
1330,implementation,http://codeforces.com/contest/146/problem/A (1)
1331,implementation,http://www.spoj.com/problems/ESYR/ (1) //Bad one :/
1332,implementation,http://codeforces.com/contest/908/problem/A (1)
1333,implementation,http://codeforces.com/contest/147/problem/A (2) //Parsing
1334,implementation,http://codeforces.com/contest/139/problem/A (1)
1335,implementation,http://codeforces.com/contest/137/problem/A (1)
1336,implementation,7886 — Assigning Teams (2) //[EASY][SORTING]
1337,implementation,http://codeforces.com/contest/133/problem/A (1)
1338,implementation,http://codeforces.com/contest/134/problem/A (1)
1339,implementation,http://codeforces.com/contest/131/problem/A (1) 
1340,implementation,http://codeforces.com/contest/127/problem/B (1) [EASY]
1341,implementation,http://codeforces.com/contest/899/problem/B (2) //Dates
1342,implementation,http://codeforces.com/contest/898/problem/C (3) //No thinking — just implementation
1343,implementation,6157 How do spiders walk on water? (4) //boring problem
1344,implementation,http://codeforces.com/contest/900/problem/A (1)
1345,implementation,7613 Relative atomic mass (1)
1346,implementation,http://codeforces.com/contest/122/problem/A (1) //Find all lucky
1347,implementation,http://codeforces.com/contest/120/problem/B (1) //Iteration
1348,implementation,http://codeforces.com/contest/120/problem/A (1) //Iff/Logic
1349,implementation,http://codeforces.com/contest/118/problem/B (2) //[PRINTING]
1350,implementation,http://codeforces.com/contest/108/problem/A (1) //[EASY][PRINT][TIME]
1351,implementation,http://codeforces.com/contest/106/problem/A (1) //Iff-party
1352,implementation,http://codeforces.com/contest/890/problem/A (1) //if or perm
1353,implementation,http://codeforces.com/contest/90/problem/B (2) //No idea — just cycles
1354,implementation,http://codeforces.com/contest/75/problem/A (1) //conversion
1355,implementation,http://codeforces.com/contest/884/problem/B (1) //Simple sum +N-1
1356,implementation,http://codeforces.com/contest/48/problem/A (1) //Very easy [fe. perm]
1357,implementation,http://codeforces.com/contest/51/my (2) //Lex-lowest-string (|s|=4)
1358,implementation,http://codeforces.com/contest/54/problem/A (2) //Single sweep
1359,implementation,http://codeforces.com/contest/719/problem/C 3
1360,implementation,http://codeforces.com/contest/747/problem/E 4
1361,implementation,http://codeforces.com/contest/754/problem/C 5
1362,implementation,11482 UVA (4)
1363,implementation,11291 UVA (3)
1364,implementation,11070 UVA (5) //evaluation of expression
1365,implementation,11074 UVA (2)
1366,implementation,http://codeforces.com/contest/678/problem/B 2 //calendar days
1367,implementation,http://codeforces.com/contest/643/problem/A 3 //easy — just simulate
1368,implementation,http://codeforces.com/contest/770/problem/D 5 //easy — but pain — draw
1369,implementation,http://codeforces.com/contest/789/problem/B 3 //simulate (mby twice)
1370,implementation,13171 UVA (1)
1371,implementation,10800 UVA (3)
1372,implementation,http://codeforces.com/contest/828/problem/B 2 //EASY & NICE — just analysis
1373,implementation,http://codeforces.com/contest/825/problem/B 2 //EASY & NICE — Piskvorky — pro prvaky
1374,implementation,http://codeforces.com/contest/837/problem/B 2 //Just implementation
1375,implementation,http://codeforces.com/contest/837/problem/C 2 //Some nasty iffs
1376,implementation,http://codeforces.com/contest/845/problem/B 2 //Easy pro prvaky
1377,implementation,http://codeforces.com/contest/845/problem/D 3 //Iffs — folow the rules
1378,implementation,http://www.spoj.com/problems/UNIHW/ 4 //NICE (but many iffs)
1379,implementation,http://codeforces.com/contest/5/problem/A (2) //Parsing
1380,implementation,http://codeforces.com/contest/5/problem/B (3) //Output formating
1381,implementation,http://codeforces.com/contest/6/problem/B (2) //Simply check by adjancecy vector + set
1382,implementation,http://codeforces.com/contest/7/problem/A (1) //Oneinteresting if
1383,implementation,http://codeforces.com/contest/8/problem/B (2) //Sample vectors + set/or/array
1384,implementation,http://codeforces.com/contest/12/problem/A (1) //Find mirror by middle
1385,implementation,http://codeforces.com/contest/16/problem/A (1) //Easy check of chars
1386,implementation,http://codeforces.com/contest/21/problem/A (2) //Easy but nasty iff imple
1387,implementation,http://codeforces.com/contest/31/problem/B (2) //Boring imple
1388,implementation,http://codeforces.com/contest/34/problem/C (3) //Easy string parsing
1389,implementation,http://codeforces.com/contest/41/problem/C (2) //String parsing
1390,inclusion-exclusion,http://www.spoj.com/problems/KPRIMESB/ (4)
1391,inclusion-exclusion,http://www.spoj.com/problems/IITKWPCH/ (4) //NICE — on bits
1392,inclusion-exclusion,http://www.spoj.com/problems/SUBSET/ (5) //VERY NICE — 3^10 (^2 but not exactly) (+ sorting)
1393,inclusion-exclusion,https://www.hackerearth.com/practice/algorithms/dynamic-programming/bit-masking/practice-problems/algorithm/special-pairs-7/description/ (4) //NICE [Brute-force]
1394,interactive,http://codeforces.com/contest/897/problem/D (4) //NICE! Back/Front
1395,interactive,http://codeforces.com/contest/727/problem/C (2)
1396,interactive,http://codeforces.com/contest/810/problem/D (4) //BS * 3 (same)
1397,interactive,http://codeforces.com/contest/811/problem/D (4) //BFS — easy .. some ifs
1398,interactive,http://codeforces.com/contest/835/problem/E (4) //NICE! Bitsets + Detect + XOR
1399,interactive,http://codeforces.com/contest/844/problem/D (5) //NICE! Randomized algo
1400,interactive,http://codeforces.com/contest/862/problem/D (4) //NICE! Find first + Binary Search
1401,interactive,http://codeforces.com/contest/872/problem/D (4) //NICE! [no clue why it passed]
1402,isomorphism,UVA 12489 //Tree
1403,isomorphism,https://www.hackerrank.com/contests/hourrank-16/challenges/jenny-subtrees/problem
1404,isomorphism,http://www.spoj.com/problems/DSUBTREE/ (5) //Isomorphism on trees (try all subsets)
1405,isomorphism,http://www.spoj.com/problems/TREEISO/ (4) //Simple isomorphism of trees
1406,josephus,UVA 151
1407,josephus,UVA 1394
1408,josephus,UVA 440
1409,josephus,3803 [LA]
1410,josephus,https://www.urionlinejudge.com.br/judge/en/problems/view/1030
1411,josephus,UVA 12912
1412,josephus,UVA 13114
1413,josephus,11351 UVA (2)
1414,josephus,http://www.spoj.com/problems/CLSLDR/ (4) //Muchas queries — go DP
1415,josephus,http://www.spoj.com/problems/WTK/ (Easy) Suggested by ayushgupta1997
1416,josephus,http://www.spoj.com/problems/DANGER/ (Easy) Suggested by ayushgupta1997
1417,josephus,http://www.spoj.com/problems/POCRI/ (Medium) Suggested by ayushgupta1997
1418,josephus,http://www.spoj.com/problems/NG0FRCTN/ (Medium) Suggested by ayushgupta1997
1419,KMP,http://www.spoj.com/problems/ADAPET/
1420,KMP,UVA 12604
1421,KMP,UVA 12467
1422,KMP,UVA 11019
1423,KMP,http://www.spoj.com/problems/NAJPF/ (4) //classical kmp — all patterns
1424,KMP,http://codeforces.com/contest/808/problem/G (6) //with DP -harder
1425,lca,http://www.spoj.com/problems/ADAAPPLE/ [HLD][LCT works too]
1426,lca,http://www.spoj.com/problems/ADAVISIT/ [HLD]
1427,lca,http://www.spoj.com/problems/ADALICI/ [KTH Ancestor — FAST!]
1428,lca,http://www.spoj.com/problems/ADAORANG/
1429,lca,http://codeforces.com/gym/101808/problem/K (5) //[NICE][IMPLEMENTATION][CYCLE]
1430,lca,http://www.spoj.com/problems/LCA/ //Easiest one — low constraints [practice]
1431,lca,http://www.spoj.com/problems/LCASQ/
1432,lca,http://codeforces.com/contest/916/problem/E (6) //[VERY NICE][SEG-TREE]//REROOT
1433,lca,http://codeforces.com/contest/911/problem/F (5) //[VERY NICE][LONGEST PATH]
1434,lca,https://devskill.com/CodingProblems/ViewProblem/141
1435,lca,UVA 12655
1436,lca,https://www.codechef.com/problems/PSHTTR
1437,lca,LightOJ 1162
1438,lca,"Gym 100685G [2012-2013 ACM-ICPC, NEERC, Moscow Subregional Contest]"
1439,lca,UVA 12533
1440,lca,https://www.codechef.com/problems/CLOSEFAR //But kinda more comples [ST]
1441,lca,http://codeforces.com/contest/733/problem/F 7
1442,lca,11354 UVA (4)
1443,lca,http://www.spoj.com/problems/POLICEMEN/ (3) //simple + small graph
1444,lca,http://www.spoj.com/problems/QTREE2/ (5) //very easy if bin. understrood
1445,lca,http://codeforces.com/contest/828/problem/F 7 // Differently MST / Outside
1446,lca,http://codeforces.com/contest/832/problem/D (5) //Classical + Depth /OR/ HLD +ST
1447,lca,http://www.spoj.com/problems/DRTREE/ (5) //NICE [finding ancestor + depths]
1448,lca,http://codeforces.com/problemset/problem/838/B (6) //VERY NICE [HLD + ET + ST]
1449,lca,http://www.spoj.com/problems/NTICKETS/ (4) //Maximum on path
1450,lca,http://www.spoj.com/problems/GRASSPLA/ (5) //HLD
1451,lca,http://codeforces.com/contest/855/problem/D (4) //VERY VERY BAD STATEMENT (not so bad problem)
1452,lca,http://codeforces.com/gym/101630 {L}(6) //[NICE][HLD or DSU][XOR] //Parenthessis
1453,lcs_subsequence,http://www.spoj.com/problems/ADASEED/ [HUNT]
1454,lcs_subsequence,http://www.spoj.com/problems/MC/
1455,lcs_subsequence,UVA 10192
1456,lcs_subsequence,UVA 531
1457,lcs_subsequence,LightOJ 1110
1458,lcs_subsequence,UVA 12747 //Perm
1459,lcs_subsequence,http://www.spoj.com/problems/XMEN/ //Perm
1460,lcs_subsequence,UVA 10405
1461,lcs_subsequence,UVA 12511 //Increasing
1462,lcs_subsequence,UVA 10635 //Increasing
1463,lcs_subsequence,10949 UVA (6) — Hunt or Bit
1464,lcs_subsequence,http://www.spoj.com/problems/MC/ (3) //Classical
1465,lcs_subsequence,http://www.spoj.com/problems/LCS0/ (7) //Bit
1466,lct,http://www.spoj.com/problems/ADAROADS/ [ONLINE][UPDATES][LCT]
1467,lct,http://www.spoj.com/problems/DYNALCA/en/ //DYNAMIC LCA 
1468,lct,http://codeforces.com/gym/100460/problem/C
1469,lct,http://codeforces.com/gym/100960/problem/H
1470,lct,http://www.spoj.com/problems/DYNACON1/
1471,lct,http://codeforces.com/contest/892/problem/E (7) [VERY NICE]//By prices .. LCT
1472,lis,UVA 231
1473,lis,UVA 10131
1474,lis,2931 LA
1475,lis,http://www.spoj.com/problems/NDS/
1476,lis,UVA 481
1477,lis,http://www.spoj.com/problems/ELIS/
1478,lis,UVA 497
1479,lis,UVA 11790
1480,lis,http://www.spoj.com/problems/ALTSEQ/ 3 //solvable by FW in Nlog(N)
1481,lis,http://www.spoj.com/problems/VISIBLEBOX/ (4) //with multiset
1482,lis,http://www.spoj.com/problems/DOSA/ (5)
1483,lis,http://www.spoj.com/problems/CODERE3/ 3 //Low bounds LIS/LDS
1484,lis,http://www.spoj.com/problems/BRDGHRD/ 4 //lis (nondecreasing)
1485,lis,http://www.spoj.com/problems/GONESORT/ 4 //Permutation-lis + riddle statement
1486,lis,http://codeforces.com/contest/847/problem/B 4 //Multiple Lis's
1487,lis,http://codeforces.com/contest/67/problem/D (4) //[NICE][DOUBLE REMAP]
1488,matching,http://www.spoj.com/problems/ADAPATH/
1489,matching,http://www.spoj.com/problems/ADACITY/
1490,matching,http://www.spoj.com/problems/ADAPLNTS/
1491,matching,http://codeforces.com/gym/101666 E //[NICE][GEOMETRY][BINARY SEARCH][PROBABILITY]
1492,matching,http://www.spoj.com/problems/MATCHING/ //Raw (no sauce)
1493,matching,http://codeforces.com/contest/116/problem/B (3) //Low cons. Can be done without algo
1494,matching,6234 — Tile Cut (LA)
1495,matching,10080 — Gopher II (UVA) //Easy — sympathic
1496,matching,11419 — SAM I AM (UVA) //Grid-Matching
1497,matching,http://codeforces.com/gym/101485 (Elementary Math — E) //Very nice principal [not that hard]
1498,matching,3673 — Black-White Grid (UVA) //Grid
1499,matching,12927 — Points Cover (UVA)
1500,matching,6851 — The Programmers (LA)
1501,matching,6887 — Book Club //NICE
1502,matching,6571 — It Can Be Arranged
1503,matching,12530 — Game of Tiles
1504,matching,http://codeforces.com/gym/100820 (Airport — A) //Nice one
1505,matching,http://codeforces.com/gym/100753 (Bounty Hunterr II — B) //VERY NICE — I refered multiple times to this principal
1506,matching,http://codeforces.com/gym/101408 (Cat vs Dog — C)
1507,matching,1171 — Knights in Chessboard (II) (LOJ) //Classical chess
1508,matching,12644 — Vocabulary
1509,matching,http://codeforces.com/gym/101047/problem/H
1510,matching,http://codeforces.com/problemset/problem/659/E
1511,matching,12972 — Cuban Challenge (UVA)
1512,matching,1201 — Taxi Cab Scheme (UVA)
1513,matching,12963 — Astragalus Nitidiflorus
1514,matching,6525 — Attacking rooks (LA)
1515,matching,3415 — Guardian of Decency (LA)
1516,matching,12159 — Gun Fight (UVA)
1517,matching,https://www.codechef.com/problems/CHEFYODA //Imho matching is not the crucial part here
1518,matching,12831 — Bob the Builder
1519,matching,http://codeforces.com/problemset/problem/831/D
1520,matching,11262 — Weird Fence
1521,matching,12549 — Sentry Robots
1522,matching,11138 — Nuts and Bolts
1523,matching,http://codeforces.com/contest/727/problem/D 4
1524,matching,11985 UVA (5)
1525,matching,http://www.spoj.com/problems/AMR12A/ (5) //VERY NICE goophers + bonus
1526,matching,http://www.spoj.com/problems/NITT4/ (4) //VERY NICE [Chessboard matching]
1527,matching,http://www.spoj.com/problems/SCPC11H/ (4)//NICE — Match those which fits inside
1528,matrix,12045 UVA (4)
1529,matrix_exponentiation,http://www.spoj.com/problems/ADAMONEY/
1530,matrix_exponentiation,13284 Macarons (4) //[NICE][BITMASK][DP] Classical
1531,matrix_exponentiation,http://codeforces.com/contest/147/problem/B (5) //[NICE][BS][GRAPHS]
1532,matrix_exponentiation,http://codeforces.com/contest/107/problem/D (5) //[NICE][DP]
1533,matrix_exponentiation,UVA 12653
1534,matrix_exponentiation,LightOJ 1131
1535,matrix_exponentiation,UVA — 12470
1536,matrix_exponentiation,http://codeforces.com/problemset/problem/696/D
1537,matrix_exponentiation,https://www.hackerrank.com/contests/mathemagic-bits/challenges/gp-on-fibonacci-matrix [accesable?]
1538,matrix_exponentiation,https://www.hackerrank.com/contests/mathemagic-bits/challenges/degree-diameter-on-trees [accesable?]
1539,matrix_exponentiation,LightOJ 1052
1540,matrix_exponentiation,https://www.codechef.com/problems/KBIGNUMB
1541,matrix_exponentiation,LightOJ 1160
1542,matrix_exponentiation,LightOJ 1096
1543,matrix_exponentiation,UVA 11486
1544,matrix_exponentiation,http://codeforces.com/problemset/problem/718/C
1545,matrix_exponentiation,LightOJ 1070
1546,matrix_exponentiation,LightOJ 1132
1547,matrix_exponentiation,http://codeforces.com/problemset/problem/621/E
1548,matrix_exponentiation,Project Euler #114: Counting block combinations I
1549,matrix_exponentiation,http://codeforces.com/problemset/problem/821/E
1550,matrix_exponentiation,UVA 12593 
1551,matrix_exponentiation,https://www.codechef.com/AUG16/problems/SHAIKHGN //Not exactly but similar principle
1552,matrix_exponentiation,11551 UVA (4)
1553,matrix_exponentiation,11486 UVA (5)
1554,matrix_exponentiation,10743 UVA (5) //A001169 [easy multi / hard to come with recurence]
1555,matrix_exponentiation,http://codeforces.com/contest/821/problem/E (6) //Not trivial to come-up with matrix
1556,matrix_exponentiation,http://www.spoj.com/problems/DCEPCA06/ (4) //NICE — 10x10 matrix
1557,matrix_exponentiation,"http://www.spoj.com/problems/GSWORDS/ (3) //NICE&EASY — 3-states ""OO,OX,XO"""
1558,matrix_exponentiation,http://www.spoj.com/problems/TETRAHRD/ (4) //Easy + Sum
1559,matrix_exponentiation,http://www.spoj.com/problems/NACCI/ (4) //Classical (N-Bonacci)
1560,matrix_exponentiation,http://www.spoj.com/problems/JZPCIR/ (5) //VERY NICE: A137726
1561,mcmf,http://www.spoj.com/problems/ADAGROW/
1562,mcmf,http://www.spoj.com/problems/ADAFEAR/
1563,mcmf,13288 — Cordon Bleu (6) //[NICE][MATCHING]
1564,mcmf,http://codeforces.com/gym/100800 (Aqueduct Construction — A)
1565,mcmf,"10806 — Dijkstra, Dijkstra."
1566,mcmf,12944 — Earthquake Disaster
1567,mcmf,12891 — Risk of Trading
1568,mcmf,https://www.codechef.com/problems/HOGON
1569,mcmf,http://codeforces.com/contest/863/problem/F (5) //VERY NICE
1570,mcmf,11613 UVA (6)
1571,mcmf,http://codeforces.com/contest/802/problem/C (8) //Nice but hard to see + negative
1572,mcmf,http://codeforces.com/contest/802/problem/N (5) //Easy but faster MCMF needed
1573,mcmf,http://codeforces.com/contest/818/problem/G (6) //NICE + MUCH Faster MCMF
1574,mcmf,http://www.spoj.com/problems/BNMT/ (7) //VERY NICE (some optimalisations needed + weird data set)
1575,mcmf,http://codeforces.com/contest/884/problem/F (6) //Alphabetical buckets
1576,median,http://codeforces.com/contest/713/problem/C 7
1577,median,http://www.spoj.com/problems/RMID2/ 4
1578,median,http://www.spoj.com/problems/RMID/ 3 (as above just not so dynamic)
1579,median,http://www.spoj.com/problems/EC_ESTA/ 4 //classical dynamic median
1580,median,"http://www.spoj.com/problems/DCEPCA09/ (6) //VERY NICE [MO +++ MEDIAN, MEAN, FREQ]"
1581,meet_in_middle,http://codeforces.com/contest/912/problem/E (5) //[VERY NICE][BS][2P][PRIMES]
1582,meet_in_middle,http://codeforces.com/contest/888/problem/E (4) //NICE[EASY]
1583,meet_in_middle,http://codeforces.com/contest/51/problem/E (6) //NICE[GRAPH][Cycles of length 5]
1584,meet_in_middle,https://devskill.com/CodingProblems/ViewProblem/245
1585,meet_in_middle,https://devskill.com/CodingProblems/ViewProblem/256
1586,meet_in_middle,11851 UVA (5)
1587,meet_in_middle,11465 UVA (5)
1588,meet_in_middle,13207 UVA (4) //Straight-forward MIM
1589,meet_in_middle,http://www.spoj.com/problems/COLOR_CC/ (4) //VERY NICE — div by partity (take lesser) → 8^6
1590,MO,http://www.spoj.com/problems/ADAUNIQ/ [Updates]
1591,MO,http://www.spoj.com/problems/ADANUM/
1592,MO,http://www.spoj.com/problems/ADAPEAR/
1593,MO,http://www.spoj.com/problems/ADAPHONE/
1594,MO,http://www.spoj.com/problems/ADAFTBLL/ [Tree][Updates]
1595,MO,http://www.spoj.com/problems/FREQUENT/
1596,MO,http://codeforces.com/contest/86/problem/D (4) //[NICE][CLASSICAL]
1597,MO,http://codeforces.com/contest/877/problem/F (6) //[NICE][NORMALIZE]
